spec_ids,feature,scope,preconditions,positive_case,negative_case,boundary_case,oracle,status,evidence
EDIT-02,InsertText,public inline text insertion,valid paragraph and UTF-16 boundary,insert Latin/CJK/emoji/control text at every legal position,surrogate midpoint and out-of-range offsets are rejected without mutation,empty insert; start/end insert; adjacent atom,test-side reference model + public projection + save/reopen,PASS,logs/reference-model-1000x100.log; logs/reference-model-extended-final.log; crates/rsword/tests/reference_model.rs
EDIT-02,DeleteRange,public same-paragraph deletion,valid range in one paragraph,delete every legal interval including empty ranges,reversed/out-of-range/surrogate-splitting ranges are rejected atomically,full text and emoji boundary ranges,test-side reference model + UTF-16 style projection,PASS,crates/rsword/tests/reference_model.rs; crates/rsword/tests/metamorphic.rs
EDIT-03,SetRunProps,run property patch over inline range,range lies in one paragraph,set/unset/keep bold and italic matches independent model,invalid range leaves bytes unchanged,empty range and explicit false,test-side character style model + save/reopen,PASS,crates/rsword/tests/reference_model.rs; crates/rsword/tests/metamorphic.rs
EDIT-03,SetParaProps and ReplaceInlines,paragraph property replacement and inline replacement,supported paragraph shape,properties/inlines match independent model,invalid target is rejected without mutation,empty replacement and style-free replacement,test-side paragraph model + public projection,PASS,crates/rsword/tests/reference_model.rs
EDIT-03,SplitParagraph and MergeWithNext,paragraph structure edits,adjacent paragraphs or legal split position,split/merge preserve expected text and properties,field-crossing split is refused,start/end and run-boundary splits,projection and roundtrip checks,PASS,crates/rsword/tests/para_ops.rs; logs/final-gates-after-crosscutting-tests.log
EDIT-03,Block operations,insert/delete/move block,valid body block target,paragraph/table/caption block sequences remain reopenable,invalid or stale targets are rejected,body start/end and repeated moves,random stateful oracle + reopen checks,PASS,crates/rsword/tests/random_ops.rs; logs/final-gates-after-crosscutting-tests.log
EDIT-03,Table operations,row/column/merge/property edits,valid table geometry,insert/delete row/column and merge keep grid invariants,bad geometry is rejected atomically,first/last row/column and 2x2 merge,table projection + independent grid checks,PASS,crates/rsword/tests/table_ops.rs; logs/final-gates-after-crosscutting-tests.log
SPAN-06,Bookmarks and ranges,bookmark add/remove/move,valid inline range,bookmark markers and anchors survive edits,duplicate or invalid names are refused,collapsed range and range across formatting,span invariants + saved XML,PASS,crates/rsword/tests/span.rs; crates/rsword/tests/para_ops.rs
SPAN-07,Comments,comment add/remove/text update,same-paragraph range,comment body and range markers roundtrip,orphan/invalid comment operations are refused,zero-length range and done state,comments part XML + model projection,PASS,crates/rsword/tests/notes.rs; crates/rsword/tests/span.rs
FLD-*,Fields and TOC,field tokens/result/link updates,field structure is well formed,tokenization/update/TOC generation roundtrip,split field and invalid instruction are refused,empty/nested/quoted instructions,token oracle + XML field structure,PASS,crates/rsword/tests/field.rs; crates/rsword/tests/fieldgen.rs
MOD-09,Revisions,tracked insert/delete/property/table edits,revision wrappers are valid,accept/reject and author filtering match model,unsupported tracked move/merge is refused,run/paragraph/table boundaries,revision model + XML wrapper counts,PASS,crates/rsword/tests/revisions.rs; crates/rsword/tests/tracked_ops.rs
DRAW/MEDIA,Images and drawings,inline/anchored image insertion and replacement,valid media and relationship,new image/replacement keeps relationships and package entries,missing media or bad relationship target is refused,duplicate image bytes and anchored/inline placement,package relationships + independent ZIP/XML,PASS,crates/rsword/tests/media_ops.rs; crates/rsword/tests/drawing_ops.rs
HF/SECTION,Headers footers and sections,section and header/footer creation/linking,valid section or header/footer part,page fields and section properties persist,foreign-part or bad reference operations are refused,odd/default/first variants and landscape page,section/HF XML + independent audit,PASS,crates/rsword/tests/hf.rs; crates/rsword/tests/hf_ops.rs
MOD-06,Equivalent XML forms,namespace prefix/default namespace/attribute order/on-off spellings,semantically equivalent XML,same visible cells and edit result,explicit false differs from absent,run splits and attribute order,test-side semantic projection,PASS,crates/rsword/tests/structure_variants.rs
PKG-08,Strict Transitional Mixed packages,flavor preservation,valid package flavor,flavor is retained after edit and no-edit save,invalid flavor transitions are not accepted,Strict main part and mixed parts,package API + independent ZIP checks,PASS,crates/rsword/tests/structure_variants.rs
SAVE-01,No-edit byte fidelity,all synthetic and real corpus,package opens successfully,saved bytes equal input bytes,open failures are reported rather than counted as passes,empty and opaque parts,whole-file byte comparison,PASS,crates/rsword/tests/save.rs; logs/final-gates-after-crosscutting-tests.log
SAVE-06,Untouched entries and opaque content,single-part edits,one declared changed part,untouched ZIP entries keep compressed bytes and CRC,rewriting an undeclared part is rejected,opaque and duplicate paragraphs,independent ZIP record audit,PASS,tools/independent-ooxml-audit.py; word-authored/CASE-COMBINED-01/checkpoints/independent-audit
TEST-07,Reference-model exhaustive sequences,1-4 step combinations on short paragraphs,two paragraphs and bounded character set,1554 sequences/5910 operations match model,rejected operations do not alter state,surrogate boundaries and save/reopen,independent test-side model,PASS,logs/reference-model-1000x100.log
TEST-07,Stateful random save/reopen sequences,1000 seeds x 100 steps plus extended batches,valid initial DOCX,100000 operations and 9828 save/reopen cycles match model,invalid UTF-16 attack is refused and state unchanged,random save intervals and repeated reopen,independent test-side model,PASS,logs/reference-model-1000x100.log; logs/reference-model-extended-final.log
TEST-06,Fuzzing,six fuzz targets,built fuzz targets and bounded resources,600-second runs complete without crash for xml/zip/instr/bind/edit/embedded,panics or invariant violations are failures,malformed and hostile byte/JSON inputs,libFuzzer sanitizer + target invariants,PASS,logs/fuzz-long-fuzz_xml.log; logs/fuzz-long-fuzz_zip.log; logs/fuzz-long-fuzz_instr.log; logs/fuzz-long-fuzz_bind.log; logs/fuzz-long-fuzz_edit.log; logs/fuzz-long-fuzz_embedded.log
TEST-06,Independent OOXML audit,Python standard-library ZIP/XML oracle,declared changed part and before/after packages,all XML/relationships parse and untouched records match,mutated untouched paragraph/styles/XML is rejected,duplicate paragraphs and reordered XML,independent parser + ZIP local records,PASS,tools/test-independent-ooxml-audit.py; logs/independent-audit-self-test-final.log
TEST-10,TS/JS differential,compat-ts WASM binding,same corpus and build,799 synthetic and 266 real documents show zero unknown differences,unknown difference is failure,known expected differences are counted,independent diff-parse + JS package,PASS,logs/diff-parse-via-js-final.log; logs/js-rust-gates-final.log
Word UI,Word-authored complex corpus,REPORT/BID/CONTRACT/LAYOUT/UNICODE/COMBINED C01-C05,Microsoft Word 16.112.3 UI only for structure,all final packages reopen; stable body markers read; no-edit save byte-identical; independent XML confirms structures,Word repair/error prompts are recorded and source fixture checked,close/reopen/Save As and TOC update,Word UI + independent XML + Rust driver,PASS,word-authored/*/read-report.md; word-authored/*/checkpoints/*.xml-check.txt
MOD-07,Table interior semantic projection,current Document model,tables created by Word,package/XML structure is retained,not represented in text_blocks projection,table-in-cell anchors,independent XML only,NOT_IMPLEMENTED,word-authored/CASE-BID-01/read-report.md; word-authored/CASE-COMBINED-01/read-report.md
MOD-10,Comment semantic projection,current Document model,comments part exists,comment parts and anchors survive save,not fully exposed by current model projection,empty and multi-paragraph comments,independent XML only,NOT_IMPLEMENTED,word-authored/CASE-CONTRACT-01/read-report.md; word-authored/CASE-COMBINED-01/read-report.md
MOD-DRAW,Textbox semantic projection,current Document model,Word text box exists,text box XML and package relationships survive,not fully exposed by current model projection,text box with formula,independent XML only,NOT_IMPLEMENTED,word-authored/CASE-LAYOUT-01/read-report.md
TEST-MUT,cargo-mutants targeted campaign,edit/plan.rs only,unit test suite passes,all viable historical survivor mutants are caught,missed mutant is a failure,validation branch boundaries,test suite outcome,PASS,logs/mutants-plan-final.log; logs/mutants-plan-survivors-final.log; logs/mutants-plan-141-final.log
TEST-MUT,whole-workspace mutation campaign,all crates and modules,long-running mutation infrastructure,not executed for the whole workspace,mutation scope is limited to edit/plan.rs,targeted campaign only,cargo-mutants,SKIPPED_WITH_REASON,logs/mutants-plan-final.log
